,sub,mask,lag,distance,run,data
0,sub-MSC08,dil1,90.58719014419155,1,3,scrubbed
0,sub-MSC08,dil2,-35.94842487688721,2,3,scrubbed
0,sub-MSC08,dil3,0.7096806062776712,3,3,scrubbed
0,sub-MSC08,nacc,-490.8561002876799,0,4,scrubbed
0,sub-MSC08,dil1,10.160024232015937,1,4,scrubbed
0,sub-MSC08,dil2,111.43144055788056,2,4,scrubbed
0,sub-MSC08,dil3,116.54439919404142,3,4,scrubbed
0,sub-MSC08,nacc,168.03818449148804,0,5,scrubbed
0,sub-MSC08,dil1,139.17263280316882,1,5,scrubbed
0,sub-MSC08,dil2,155.0509615983529,2,5,scrubbed
0,sub-MSC08,dil3,213.12553117104406,3,5,scrubbed
0,sub-MSC08,nacc,283.65894298611744,0,6,scrubbed
0,sub-MSC08,dil1,322.0217141256507,1,6,scrubbed
0,sub-MSC08,dil2,166.53577206460142,2,6,scrubbed
0,sub-MSC08,dil3,124.52963815100068,3,6,scrubbed
0,sub-MSC08,nacc,565.5470605896995,0,7,scrubbed
0,sub-MSC08,dil1,25.311467056662817,1,7,scrubbed
0,sub-MSC08,dil2,-110.4634058347322,2,7,scrubbed
0,sub-MSC08,dil3,-150.03210575628387,3,7,scrubbed
0,sub-MSC08,nacc,-165.84218235036212,0,8,scrubbed
0,sub-MSC08,dil1,-67.07540559461481,1,8,scrubbed
0,sub-MSC08,dil2,-318.74088023726324,2,8,scrubbed
0,sub-MSC08,dil3,-757.1786364465711,3,8,scrubbed
0,sub-MSC08,nacc,122.62581953053797,0,9,scrubbed
0,sub-MSC08,dil1,372.18357409850375,1,9,scrubbed
0,sub-MSC08,dil2,323.19579387782215,2,9,scrubbed
0,sub-MSC08,dil3,40.16671037371011,3,9,scrubbed
0,sub-MSC09,nacc,134.86397073047755,0,0,scrubbed
0,sub-MSC09,dil1,-173.01129539752762,1,0,scrubbed
0,sub-MSC09,dil2,-423.12828666959587,2,0,scrubbed
0,sub-MSC09,dil3,-595.8152494182772,3,0,scrubbed
0,sub-MSC09,nacc,42.99452409186513,0,1,scrubbed
0,sub-MSC09,dil1,-169.2926930969504,1,1,scrubbed
0,sub-MSC09,dil2,-338.89782797942684,2,1,scrubbed
0,sub-MSC09,dil3,-495.9700138867579,3,1,scrubbed
0,sub-MSC09,nacc,85.36907079278608,0,2,scrubbed
0,sub-MSC09,dil1,-772.1052075937329,1,2,scrubbed
0,sub-MSC09,dil2,-1306.3711672005486,2,2,scrubbed
0,sub-MSC09,dil3,-1787.2463234346676,3,2,scrubbed
0,sub-MSC09,nacc,27.5132053801003,0,3,scrubbed
0,sub-MSC09,dil1,-538.4704823599845,1,3,scrubbed
0,sub-MSC09,dil2,-859.3046983192575,2,3,scrubbed
0,sub-MSC09,dil3,-979.5870396717742,3,3,scrubbed
0,sub-MSC09,nacc,479.64217930160834,0,4,scrubbed
0,sub-MSC09,dil1,-109.3605460209226,1,4,scrubbed
0,sub-MSC09,dil2,-501.2400759243938,2,4,scrubbed
0,sub-MSC09,dil3,-1037.7701615919798,3,4,scrubbed
0,sub-MSC09,nacc,-208.12206890951717,0,5,scrubbed
0,sub-MSC09,dil1,-615.1758304581334,1,5,scrubbed
0,sub-MSC09,dil2,-910.9779787876378,2,5,scrubbed
0,sub-MSC09,dil3,-1182.4401039280576,3,5,scrubbed
0,sub-MSC09,nacc,471.18397695168386,0,6,scrubbed
0,sub-MSC09,dil1,325.09143288934507,1,6,scrubbed
0,sub-MSC09,dil2,119.21086205322334,2,6,scrubbed
0,sub-MSC09,dil3,-104.51168227437147,3,6,scrubbed
0,sub-MSC09,nacc,85.9329208088749,0,7,scrubbed
