,x,y,z,prefs
406,9,141,81,0.4200050722990698
407,9,141,84,0.3022413064484146
408,9,141,87,-0.8148150281977973
409,9,141,90,-0.24231866060697652
410,9,144,69,0.45468904919502273
411,9,144,72,0.7451054727317411
412,9,144,75,0.7697760509648731
413,9,144,78,0.8943216620090122
414,9,144,81,0.5842913133973382
415,9,144,84,-0.12098809865900007
416,9,144,87,0.029378724900823605
417,9,144,90,0.07879328244037248
418,9,147,69,0.2914016862804543
419,9,147,72,0.7629188838498212
420,9,147,75,0.8107812960752147
421,9,147,78,0.7282460799932856
422,9,147,81,0.6637274967632762
423,9,147,84,0.03647198639754745
424,9,147,87,0.04453962473380507
425,9,150,72,0.5607432521282167
426,9,150,75,0.7904146401691854
427,9,150,78,0.7575753198869646
428,9,150,81,0.6179494797004544
429,9,150,84,-0.022806127256828512
430,9,153,75,0.7395682067648284
431,12,129,96,-0.022494707759252053
432,12,132,93,-0.41431907656771944
433,12,132,96,0.1610184078763074
434,12,135,90,-0.33249912351763716
435,12,135,93,-0.30517850725812945
436,12,135,96,0.03474964362551991
437,12,138,66,0.10413812602483519
438,12,138,69,0.06430003599457745
439,12,138,87,-0.43568152009663014
440,12,138,90,-0.29166736955076344
441,12,138,93,-0.12189425028621104
442,12,138,96,0.46708917549723494
443,12,141,66,0.05142367054550123
444,12,141,69,0.23910613887065757
445,12,141,72,0.4572446924839201
446,12,141,84,0.31194118821755357
447,12,141,87,-0.4817402839389441
448,12,141,90,-0.5682707958834663
449,12,141,93,0.5743674902249342
450,12,141,96,0.44698811206204303
451,12,144,66,-0.1238581262424347
452,12,144,69,0.25736283912680913
453,12,144,72,0.48812491235766525
454,12,144,78,0.7751707838948689
455,12,144,81,0.49819202541829516
456,12,144,84,0.15404235447144699
457,12,144,87,-0.5778351945777319
458,12,144,90,0.6228153403686798
459,12,144,93,0.6483487896346404
460,12,147,69,0.4431128971942112
461,12,147,72,0.5613582635762023
462,12,147,75,0.7108235940545412
463,12,147,78,0.6690257477990028
464,12,147,81,0.3587652259658964
465,12,147,84,0.5510859886078019
466,12,147,87,0.5057053816552267
467,12,147,90,0.5403582987316683
468,12,147,93,0.842190113152498
469,12,150,69,0.11212229084955228
470,12,150,72,0.5930681409735757
471,12,150,75,0.7050481586437445
472,12,150,78,0.7169651601575514
473,12,150,81,0.5451285434644044
474,12,150,84,0.5890346217817731
475,12,150,87,0.6400044268014136
476,12,150,90,0.7421759398925746
477,12,153,72,0.2595927870033006
478,12,153,75,0.7347265179305342
479,12,153,78,0.672945169989994
480,12,153,81,0.3860348987576414
481,12,153,84,0.4021244992498626
482,15,126,99,0.04212537425936841
483,15,129,96,0.1533991210000451
484,15,129,99,-0.18207087691201015
485,15,132,96,0.16433641658898068
486,15,132,99,-0.0686291448897951
487,15,135,93,0.2144905453742076
488,15,135,96,0.28433302685041584
489,15,135,99,-0.15714202161914825
490,15,138,66,0.1870372575028535
491,15,138,69,0.49934464273852275
492,15,138,93,0.7513547996896663
493,15,138,96,0.7619065303292563
494,15,138,99,0.026175327170526508
495,15,141,66,-0.0075175915407476035
496,15,141,69,0.47187643275552216
497,15,141,72,0.3072096251151968
498,15,141,90,-0.10327610683145963
499,15,141,93,0.8919881205265303
500,15,141,96,0.727458736534409
501,15,141,99,0.4151231886275953
502,15,144,66,0.03552012460532106
503,15,144,69,0.297746298132308
504,15,144,72,0.45932755909322676
505,15,144,87,0.531110799544058
506,15,144,90,1.020202282526969
507,15,144,93,0.8949683288179493
508,15,144,96,0.7770627003552355
509,15,147,69,0.49628429777077326
510,15,147,72,0.611591864042423
511,15,147,81,0.5553856804730399
512,15,147,84,0.6001160195941873
513,15,147,87,0.6471870790903308
514,15,147,90,0.9417012376905544
515,15,147,93,0.7923647930589935
516,15,150,72,0.692267891432908
517,15,150,75,0.8318874858478403
518,15,150,78,0.6895013610960813
519,15,150,81,0.43738527636243174
520,15,150,84,0.5568282948676431
521,15,150,87,0.8188543778153121
522,15,150,90,0.8088088098157841
523,15,153,72,0.40746709070188825
524,15,153,75,0.6667480555532298
525,15,153,78,0.718320289042573
